id,question,cot,answer,unit,prefix
LD014,"Two charges separated by 15 cm exert a force of 4.8 N. Given that q1 = q2 = q, find q.","Step 1: Identify the given values from the question: The force (F) between the charges is 4.8 N, the separation distance (r) is 15 cm, and the magnitudes of the charges are equal (q1 = q2 = q).
Step 2: State Coulomb's Law, which describes the magnitude of the electrostatic force between two point charges: F = k × |q1 × q2| / r^2, where k is Coulomb's constant (approximately 9 x 10^9 N m^2/C^2).
Step 3: Convert the separation distance from centimeters to meters: r = 15 cm = 0.15 m.
Step 4: Substitute the given values (F = 4.8 N, r = 0.15 m, k = 9 x 10^9 N m^2/C^2) and the condition q1 = q2 = q into Coulomb's Law: 4.8 = (9 x 10^9) × q^2 / (0.15)^2.",3.46,μC,LD
CH176,What is the power factor (cosφ) of a series RLC circuit at resonance?,"Step 1: Identify the condition for a series RLC circuit at resonance.
Step 2: At resonance, the inductive reactance (Z_L) equals the capacitive reactance (Z_C).
Step 3: This equality means the net reactive impedance (Z_L - Z_C) is zero.
Step 4: The total impedance (Z) of the circuit becomes purely resistive, equal to R (Z = R). Then, cosφ = R/R = 1.",1,-,CH
LD338,"Two electric charges q1 = 4.2 × 10^-6 C and q2 = 2.1 × 10^-6 C are separated by a distance of 9.2 cm. Point M is located on the perpendicular bisector of the line segment connecting q1 and q2, and is 4.6 cm away from this line segment. Calculate the resultant electric field at point M. Give your answer rounded two decimal places.","Step 1: Identify given values and convert units to SI. Charges are q1 = 4.2 × 10⁻⁶ C and q2 = 2.1 × 10⁻⁶ C. Separation distance AB = 9.2 cm (0.092 m). Perpendicular distance to M is y = 4.6 cm (0.046 m). Coulomb's constant k = 8.99 × 10⁹ N×m²/C².
Step 2: Determine the geometry and calculate the distance (r) from each charge to point M. The horizontal distance from each charge to the midpoint is x = 0.092 / 2 = 0.046 m.
r = √(x² + y²) = √((0.046)² + (0.046)²) = √(0.002116 + 0.002116) = √(0.004232) = 0.065053... m.
Step 3: Calculate the magnitude of the electric field E1 due to q1 at M. Rounding up the fourth digit after the decimal:
E1 = (8.99 × 10⁹ × 4.2 × 10⁻⁶) / 0.004232 = 8.9221 × 10⁶ V/m.
Step 4: Calculate the magnitude of the electric field E2 due to q2 at M.
E2 = (8.99 × 10⁹ × 2.1 × 10⁻⁶) / 0.004232 = 4.4611 × 10⁶ V/m.
Step 5: Determine the components of the electric fields. Both charges are positive, so vectors point away from the charges. Since x = y (0.046 m), the angle φ is 45°.
cos(φ) = 0.046 / 0.065053 = 0.7071
sin(φ) = 0.046 / 0.065053 = 0.7071
Step 6: Calculate the net horizontal (Ex) and vertical (Ey) components.
E1x = -E1 × cos(φ) = -8.9221 × 0.7071 = -6.3088 × 10⁶ V/m.
E2x = +E2 × cos(φ) = +4.4611 × 0.7071 = +3.1545 × 10⁶ V/m.
E1y = +E1 × sin(φ) = +8.9221 × 0.7071 = +6.3088 × 10⁶ V/m.
E2y = +E2 × sin(φ) = +4.4611 × 0.7071 = +3.1545 × 10⁶ V/m.
Ex_net = E1x + E2x = -6.3088 + 3.1545 = -3.1543 × 10⁶ V/m.
Ey_net = E1y + E2y = 6.3088 + 3.1545 = 9.4633 × 10⁶ V/m.
Step 7: Calculate the resultant electric field strength E_net at M.
E_net = √((Ex_net)² + (Ey_net)²)
√((-3.1543)² + (9.4633)²) × 10⁶ = √(9.9496 + 89.5540) × 10⁶ = √(99.5036) × 10⁶ ≈ 0.9975 × 10⁷ V/m.
Rounding to two decimal places: ≈ 1.00 × 10⁷ V/m.",1.00 × 10⁷,V/m,LD
CH195,"Consider a series RLC circuit. At the initial angular frequency ω0, X_L = 80 Ω and X_C = 20 Ω. A new angular frequency must be set to k×ω0. What is the value of k for the circuit to resonate?","Step 1: Note the given initial reactances at angular frequency ω0: X_L = 80 Ω and X_C = 20 Ω.
Step 2: Recall the formulas for inductive and capacitive reactances: X_L = ωL and X_C = 1/(ωC).
Step 3: From the initial conditions, we can write: ω0 × L = 80 (Equation 1) and 1/(ω0 × C) = 20 (Equation 2).
Step 4: For the circuit to resonate, the inductive reactance must equal the capacitive reactance at the new angular frequency ω_res = k×ω0. Then, angular frequency must be multiplied by 0.5",0.5,-,CH
DDT346,"A series RLC circuit has an impedance Z = 50 Ω, a resistance R = 30 Ω, and a total voltage V = 150 V. Calculate the power consumed.","Step 1: Identify the given values from the question: the total voltage applied to the circuit is V = 150 V, the total impedance of the RLC circuit is Z = 50 Ω, and the resistance of the circuit is R = 30 Ω. The objective is to calculate the real power consumed by the circuit.
Step 2: Recall Ohm’s Law for AC circuits, which relates voltage, current, and impedance. The RMS current flowing through the circuit is determined by the formula I = V / Z.
Step 3: Substitute the given values into the current formula: I = 150 V / 50 Ω.
Step 4: Perform the calculation with units: 150 V / 50 Ω = 3.0 A. Therefore, the RMS current flowing through the circuit is I = 3.0 A.
Step 5: Recall the formula for real power consumed in an AC circuit. The real power is dissipated only by the resistive component of the circuit and is calculated using P = I²*R.
Step 6: Substitute the calculated current and the given resistance into the power formula: P = (3.0 A)²*30 Ω.
Step 7: Perform the calculation step by step with units. First square the current: (3.0 A)² = 9.0 A². Then multiply by the resistance: 9.0 A²*30 Ω = 270.0 W.
Step 8: Interpret the result. This value represents the real electrical power converted into heat by the resistor in the circuit.
Step 9: State the final conclusion: the power consumed by the circuit is P = 270.0 W.",270.0,W,DDT
TD012,A parallel-plate capacitor has circular plates with a radius R = 60 cm. The plate separation is d = 2 mm. Air is between the plates. What is the maximum charge that can be stored on the capacitor without dielectric breakdown? Given that the maximum electric field strength air can withstand is 3 x 10^5 V/m.,"Step 1: Convert the given dimensions to SI units.
Step 2: Calculate the area of the circular plates.
Step 3: Determine the maximum potential difference (voltage) that can be applied across the plates before dielectric breakdown.
Step 4: State the formula relating maximum charge, capacitance, and maximum voltage.
Step 5: The maximum charge that can be stored on the capacitor without dielectric breakdown is approximately 3 μC.",3,μC,TD
NL092,"A capacitor has an initial energy of 1.6 mJ. After a period of LC oscillation, its energy is reduced to 0.4 mJ. What is the percentage loss (%)?","Step 1: The percentage loss of energy in a capacitor is mathematically defined by the ratio of the energy difference to the initial energy, expressed by the equation Percentage Loss = ((E_C1 - E_C2) / E_C1) × 100.
Step 2: The explicitly provided physical parameters are an initial electric field energy of E_C1 = 1.6 × 10^-3 J and a final electric field energy of E_C2 = 0.4 × 10^-3 J.
Step 3: Substituting the specified numerical values into the mathematical definition yields the algebraic expression ((1.6 × 10^-3 - 0.4 × 10^-3) / (1.6 × 10^-3)) × 100.
Step 4: Evaluating the algebraic expression simplifies the ratio to (1.2 / 1.6) × 100, which mathematically yields the scalar value 75. The final determined percentage loss is 75%.",75,%,NL
THCB120,"The actual weight is 65.0 kg, and a student measured 64.5 kg. Calculate the absolute error and the relative error.","Step 1: Calculate the absolute error: |64.5 - 65.0| = 0.5 kg.
Step 2: Calculate the relative error using the actual weight: 0.5 / 65.0.
Step 3: Convert to percentage: (0.5 / 65.0) × 100%.
Step 4: Final calculation: ≈ 0.77%.",0.5; 0.77,kg; %,THCB
CH371,"Given L = 0.10 H, C = 50 µF, R = 40 Ω. Calculate the quality factor Q.","Step 1: Identify the given values: Inductance L = 0.10 H, Capacitance C = 50 µF, and Resistance R = 40 Ω.
Step 2: Convert capacitance to Farads: C = 50 × 10⁻⁶ F.
Step 3: State the formula for the quality factor (Q) of a series RLC circuit: Q = (1/R) × √(L/C).
Step 4: Substitute the given values into the formula: Q = (1/40) × √(0.10 / (50 × 10⁻⁶)) = 1.12.",1.12,,CH
LD236,Three electric charges q1 = q2 = q3 = +2 × 10^-6 C are placed at the three vertices of an equilateral triangle with side length 15 cm. Calculate the net electric force acting on q3.,"Step 1: Identify the given charges and distances.
Step 2: State Coulomb's Law and the value of Coulomb's constant.
Step 3: Calculate the magnitude of the forces acting on q3.
Step 4: Determine the angle between the two force vectors.
Step 5: The magnitude of the net electric force acting on q3 is approximately 2.7713 N.",2.7713,N,LD
CH250,Circuit AB satisfies LCω² = 1. Voltages uAM and uMB are 90° out of phase. Given R1 = 80 Ω and R2 = 90 Ω. Calculate the power factor of the entire circuit.,"Step 1: Analyze circuit conditions
From the condition LCω² = 1 we obtain Z_L = Z_C. This is the phenomenon of full electrical resonance in a series RLC circuit.
Step 2: Determine the phase difference of the entire circuit
When the circuit is at resonance, the total voltage u_AB and the current i are always in phase with each other. Therefore φ = 0.
Step 3: Calculate the power factor
The power factor of the entire circuit is calculated using cos φ. Since φ = 0 we have cos φ = cos(0) = 1.
Step 4: Conclusion
Regardless of the specific values of R₁ and R₂, as long as the resonance condition (Z_L = Z_C) is satisfied, the power factor of the entire circuit always reaches its maximum value. Therefore cos φ = 1.",1,-,CH
CH064,"Given an inductor with L = 0.05 H, which resonates at 200 Hz, what is the required capacitance C?","Step 1: Identify the given inductance L = 0.05 H.
Step 2: Identify the given resonant frequency f = 200 Hz.
Step 3: Recall the formula for resonant frequency in an LC circuit: f = 1 / (2π√(LC)).
Step 4: Rearrange the formula to solve for capacitance C: C = 1 / (4π²f²L) = 1 / (4π² × 200² × 0.05) = 12.67 μF.",12.67,μF,CH
CH022,A circuit consists of an inductor L = 0.02 H connected in series with a capacitor C = 500 μF. Calculate the resonant frequency of the circuit?,"Step 1: Identify the given values for inductance (L) and capacitance (C) from the question.
Step 2: Convert the capacitance from 500 microfarads (μF) to 500 × 10⁻⁶ farads (F).
Step 3: State the formula for the resonant frequency (f) of a series LC circuit f = 1 / (2π√(LC)).
Step 4: Substitute the given and converted values into the resonant frequency formula: f = 1 / (2π√(0.02 × 500 × 10⁻⁶)) = 50.33 Hz.",50.33,Hz,CH
DDT374,"A solenoid is 0.6 m long, has 1200 turns, and a current of 2 A flows through it. Calculate the magnetic flux through a cross-sectional area of 4×10⁻⁴ m².","Step 1: Identify the given values from the question: the length of the solenoid is L = 0.6 m, the number of turns is N = 1200 turns, the current through the solenoid is I = 2 A, and the cross-sectional area is A = 4 × 10⁻⁴ m². The objective is to calculate the magnetic flux through the cross-sectional area of the solenoid.
Step 2: Recall the formula for the magnetic field inside a long solenoid: B = μ₀*(N/L)×I, where μ₀ = 4×pi × 10⁻⁷ T×m/A.
Step 3: Calculate the number of turns per unit length: N/L = 1200 / 0.6 = 2000 turns/m.
Step 4: Substitute the values into the magnetic field formula: B = (4×pi × 10⁻⁷ T×m/A)×(2000)×(2 A).
Step 5: Multiply the numerical values: 2000 × 2 = 4000, therefore B = 4×pi × 10⁻⁷ × 4000.
Step 6: Express 4000 in scientific notation: 4000 = 4 × 10³, therefore B = 4×pi × 10⁻⁷ × 4 × 10³ = 16×pi × 10⁻⁴.
Step 7: Convert to decimal form: 16×pi ≈ 50.27, therefore B ≈ 50.27 × 10⁻⁴ T = 5.03 × 10⁻³ T.
Step 8: Recall the formula for magnetic flux through an area: Φ = B*A.
Step 9: Substitute the values into the magnetic flux formula: Φ = (5.03 × 10⁻³ T)×(4 × 10⁻⁴ m²).
Step 10: Perform the multiplication: 5.03 × 4 = 20.12 and 10⁻³ × 10⁻⁴ = 10⁻⁷, therefore Φ = 20.12 × 10⁻⁷ Wb.
Step 11: Express the result in standard scientific notation: Φ = 2.01 × 10⁻⁶ Wb.",2.01×10⁻⁶,Wb,DDT
THCB072,"Resistor D1 has a resistance of 10Ω, and Resistor D2 has a resistance of 5Ω. They are connected in parallel to a 10V power source. Calculate the total current flowing through the circuit.","Step 1: Calculate current for D1: I1 = 10V / 10Ω = 1.0 A.
Step 2: Calculate current for D2: I2 = 10V / 5Ω = 2.0 A.
Step 3: Calculate total current (A1): I_total = I1 + I2 = 1.0 A + 2.0 A = 3.0 A.",I_total = 3.0,A,THCB
NL112,"An inductor has L = 0.4 H, the current through it is 3 A. Calculate the magnetic field energy (mJ).","Step 1: Identify the given values from the question.
Step 2: The inductance (L) is 0.4 H and the current (I) is 3 A.
Step 3: The formula for the magnetic field energy (E) stored in an inductor is E = (1/2) × L × I^2.
Step 4: Substitute the given values into the formula: E = (1/2) × (0.4 H) × (3 A)^2 = 1.8 J = 1800.00 mJ.",1800.00,mJ,NL
DT080,"The electric field between two vertical, oppositely charged metal plates has a magnitude of 4900 V/m. Determine the mass of a dust particle placed in this electric field if it carries a charge q = 4.10^-10 C and is in equilibrium, with its suspension thread making an angle of 30° with the vertical.","Step 1: Identify the forces acting on the dust particle: the electric force (Fe) due to the electric field, the gravitational force (Fg) acting downwards, and the tension (T) from the suspension thread.
Step 2: Resolve the tension force into its components. Since the thread makes an angle of 30° with the vertical, the horizontal component of tension is Tsin(30°) and the vertical component is Tcos(30°).
Step 3: Apply the conditions for equilibrium. For horizontal forces, the electric force must balance the horizontal component of tension: Fe = Tsin(30°).
Step 4: For vertical forces, the gravitational force must balance the vertical component of tension: Fg = Tcos(30°).
Step 5: The mass of the dust particle is approximately 3.46 x 10^-7 kg.",3.4 . 10^{-7},kg,DT
TD376,A capacitor with C = 2 μF is connected to a voltage of 6 V. Calculate the energy and the charge.,"Step 1: Identify the given values from the problem: capacitance C = 2 μF and voltage V = 6 V.
Step 2: Use the formula for charge Q = C × V.
Step 3: Substitute the values to calculate the charge: Q = 2 μF × 6 V = 12 μC.
Step 4: Recall the formula for the energy (W) stored in a capacitor: W = 0.5 × C × V².
Step 5: Substitute the values into the energy formula: W = 0.5 × (2 × 10⁻⁶ F) × (6 V)².
Step 6: Calculate the final result: W = 1 × 36 × 10⁻⁶ = 36 μJ.

The charge is 12 μC and the stored energy is 36 μJ.",36;12,μJ; μC,TD
THCB003,"Resistance R is calculated using the formula R = U/I, where U = 6.0 ± 0.1 V and I = 0.3 ± 0.01 A. What is the absolute error of R?","Step 1: Identify given values: U = 6.0 V, ΔU = 0.1 V, I = 0.3 A, and ΔI = 0.01 A.
Step 2: Calculate the nominal resistance: R = U / I = 6.0 / 0.3 = 20 Ω.
Step 3: Calculate the total relative error for a quotient (R = U/I): δR = δU + δI = (ΔU / U) + (ΔI / I).
Step 4: Substitute values: δR = (0.1 / 6.0) + (0.01 / 0.3) ≈ 0.0167 + 0.0333 = 0.05.
Step 5: Calculate absolute error of R: ΔR = R ⋅ δR = 20 ⋅ 0.05 = 1.0 Ω.",1.0,Ω,THCB
TD009,"A parallel-plate capacitor has circular plates with a radius of 10 cm. The distance between the plates and the potential difference across them are 1 cm and 108 V, respectively. The space between the plates is air. What is the charge on the capacitor?","Step 1: Identify the given values: plate radius (r) = 10 cm, plate separation (d) = 1 cm = 0.01 m, potential difference (V) = 108 V. The space between plates is air, for which the permittivity of free space (ε₀) is approximately 8.85 x 10⁻¹² F/m.
Step 2: Calculate the area (A) of one circular plate using the formula A = πr². A = π × (0.10 m)² ≈ 0.0314159 m².
Step 3: Calculate the capacitance (C) of the parallel-plate capacitor using the formula C = (ε₀ × A) / d. C = (8.85 x 10⁻¹² F/m × 0.0314159 m²) / 0.01 m ≈ 2.7798 x 10⁻¹¹ F.
Step 4: Recall the formula relating charge (Q), capacitance (C), and voltage (V): Q = C × V.
Step 5: The charge on the capacitor is approximately 3 nC.",3,nC,TD
LD069,"Two charges, q1 = 4 × 10^-10 C and q2 = -4 × 10^-10 C, are placed at points A and B in the air, with the distance AB = a = 2 cm. Determine the electric field vector at point N such that A, B, and N form an equilateral triangle.","Step 1: Determine the geometry and distances.
Step 2: Set up a coordinate system and determine the coordinates of N.
Step 3: Calculate the magnitude of the electric field (E1) at N due to charge q1 at A.
Step 4: Determine the direction of E1. Since q1 > 0, E1 points away from A toward N.
Step 5: Calculate the magnitude and direction of E2 due to q2 at B. Since q2 < 0, E2 points from N toward B.
Step 6: Apply the principle of superposition by summing the components of the vectors E = E1 + E2.
Step 7: The magnitude of the electric field strength at point N is 9000 N/C.",9000,N/C,LD
DT043,"An electron moves along the electric field lines of a uniform electric field with an electric field strength E = 100 V / m. Its initial velocity is 300 km / s, in the direction of the electric field vector E. What distance does the electron travel before its velocity reduces to zero?","Step 1: Identify the given values from the question: Electric field strength E = 100 V / m, initial velocity v_0 = 300 km / s, and final velocity v_f = 0 m / s.
Step 2: Convert the initial velocity to standard units: v_0 = 300 × 10^3 m / s.
Step 3: The electric force (F) on an electron with charge |q| in an electric field E is F = |q|E.
Step 4: According to Newton's second law, this force causes an acceleration (a) given by F = m_e × a, where m_e is the mass of the electron. Therefore, a = |q|E / m_e.
Step 5: The electron travels a distance of approximately 2.56 mm before its velocity reduces to zero.",2.56,mm,DT
LD179,"Two electric forces have magnitudes of 7 N and 2 N, acting at a 90° angle to each other. Calculate the resultant force of these two electric forces.","Step 1: Identify the magnitudes of the two electric forces as 7 N and 2 N.
Step 2: Note that the angle between these two forces is 90 degrees (perpendicular).
Step 3: To find the resultant force (R) of two perpendicular forces, use the Pythagorean theorem: R = sqrt(F1^2 + F2^2).
Step 4: Substitute the values: R = sqrt((7 N)^2 + (2 N)^2).
Step 5: The magnitude of the resultant force of these two electric forces is approximately 7.2801 N.",7.2801,N,LD
CH069,A circuit has a capacitor C = 25 μF. What inductance L is required for it to resonate at 100 Hz?,"Step 1: The given capacitance C is 25 μF, which is 25 × 10⁻⁶ F.
Step 2: The desired resonant frequency f is 100 Hz.
Step 3: The formula for the resonant frequency of an LC circuit is f = 1 / (2π√(LC)).
Step 4: To solve for L, rearrange the formula: L = 1 / (4π² × f² × C) = 1 / (4π² × 100² × 25 × 10⁻⁶) = 101.32 mH.",101.32,mH,CH
NL341,A capacitor has a capacitance of 4 µF and is charged to a voltage of 150 V. Calculate the electric field energy (J) stored in the capacitor.,"Step 1: Identify the given capacitance (C) as 4 µF and voltage (U) as 150 V.
Step 2: Convert the capacitance to Farads: C = 4 × 10⁻⁶ F.
Step 3: Recall the formula for the electric field energy (W_C) stored in a capacitor: W_C = ½CU².
Step 4: Substitute the values into the formula: W_C = ½ × (4 × 10⁻⁶ F) × (150 V)² = 0.045 J.",0.045,J,NL
DDT360,What is the shape of the graph representing the electric field energy and magnetic field energy in an LC circuit?,"Step 1: Recall the behavior of an ideal LC circuit. In an LC circuit, electrical energy oscillates between the electric field energy stored in the capacitor and the magnetic field energy stored in the inductor.
Step 2: Recall the expressions for the two types of energy in the circuit. The electric field energy stored in the capacitor is U_E = Q²/(2C), and the magnetic field energy stored in the inductor is U_B = (1/2)LI².
Step 3: Recall the behavior of charge and current in the circuit. In an LC circuit, the charge on the capacitor and the current through the inductor vary sinusoidally with time.
Step 4: Determine the shape of the energy graphs. Since the energies depend on the square of the charge and the square of the current, the electric and magnetic energies vary as the square of sinusoidal functions.
Step 5: Interpret the resulting waveform. Squaring a sinusoidal or cosine function produces a periodic curve that always remains positive and has the shape of a squared sine or squared cosine wave.
Step 6: Describe the relationship between the two energies. The electric energy and magnetic energy oscillate out of phase with each other; when one reaches its maximum value, the other becomes zero.
Step 7: State the final conclusion. The graphs representing electric field energy and magnetic field energy in an LC circuit have the shape of sinusoidal-squared curves (sin² or cos² functions).",Sinusoidal waves with a phase shift of π/2,—,DDT
DDT212,"A solenoid has a turn density of 3000 turns/m, an electric current of 1.2 A. Calculate the magnetic field inside the solenoid.","Step 1: Identify the given values for the solenoid.
Step 2: The turn density (n) is 3000 turns/m.
Step 3: The current (I) is 1.2 A.
Step 4: The formula for the magnetic field (B) inside a long solenoid is B = μ₀ × n × I, where μ₀ is the permeability of free space.
Step 5: Substitute the values: B = 4π × 10^-7 × 3000 × 1.2.
Step 6: Calculate B = 4.524 × 10^-3 T = 4.524 mT.",4.524,mT,DDT
LD107,"Two electric charges q1 = -6 × 10^-8 C and q2 = +5 × 10^-8 C are placed at two points A and B, 8 cm apart, in air. A charge q3 = +2 × 10^-8 C is placed at point C, knowing that the distance from C to A is 10 cm and from C to B is 8 cm. Calculate the net electric force acting on q3.","Step 1: Identify the given charges and distances. The charges are q1 = -6 × 10^-8 C, q2 = +5 × 10^-8 C, and q3 = +2 × 10^-8 C. The distances are d_CA = 10 cm = 0.10 m, d_CB = 8 cm = 0.08 m, and d_AB = 8 cm = 0.08 m. The electrostatic constant in air (k) is approximately 9 × 10^9 N m^2/C^2.
Step 2: Calculate the magnitude of the electrostatic force F13 exerted by q1 on q3 using Coulomb's Law. F13 = k × |q1 × q3| / d_CA^2 = (9 × 10^9 N m^2/C^2) × |-6 × 10^-8 C × 2 × 10^-8 C| / (0.10 m)^2 = (9 × 10^9 × 12 × 10^-16) / 0.01 N = 1.08 × 10^-3 N.
Step 3: Determine the direction of force F13. Since q1 is negative and q3 is positive, the force F13 is attractive, directed from point C towards point A.
Step 4: Calculate the magnitude of the electrostatic force F23 exerted by q2 on q3 using Coulomb's Law. F23 = k × |q2 × q3| / d_CB^2 = (9 × 10^9 N m^2/C^2) × |5 × 10^-8 C × 2 × 10^-8 C| / (0.08 m)^2 = (9 × 10^9 × 10 × 10^-16) / 0.0064 N = 1.40625 × 10^-3 N.
Step 5: The magnitude of the net electric force acting on q3 is approximately 1.116 × 10^-3 N.",1.116*10^-3,N,LD
THCB083,"If two bulbs are connected in parallel, both at the same voltage, how bright will the bulb with lower resistance be?","Step 1: In parallel, both bulbs share the same voltage (V).
Step 2: Power (brightness) is calculated as P = V^2 / R.
Step 3: Because voltage is constant, a lower resistance (R) results in a higher power (P).
Step 4: Conclusion: The bulb with lower resistance will be brighter.",Brighter because the current is higher.,—,THCB
