"id","prefix","question","answer","unit","topic","explanation"
"CH_AUG049","CH","An AC circuit has L = 0.5 H and frequency 50 Hz. Determine inductive reactance.","157.08","Ω","general_physics","Inductive reactance is XL = 2πfL. With f = 50 Hz and L = 0.5 H, XL = 2π×50×0.5 = 157.08 Ω. The larger inductance raises XL."
"CH_AUG050","CH","An inductor L = 0.05 H is connected to AC of frequency 100 Hz. Find XL.","31.42","Ω","general_physics","Use XL = 2πfL. Substitution gives XL = 2π×100×0.05 = 31.42 Ω. This is the opposition due to inductance in the AC circuit, so the unit is ohms."
"CH_AUG051","CH","A capacitor C = 100 μF is used at frequency 50 Hz. Calculate capacitive reactance.","31.83","Ω","capacitor","Capacitive reactance is XC = 1/(2πfC). Convert C = 100 μF to 100×10^-6 F. Substituting f = 50 Hz gives XC ≈ 31.83 Ω. Unit conversion is required."
"CH_AUG052","CH","A capacitor of 50 μF operates at 60 Hz. Find XC.","53.05","Ω","capacitor","Use XC = 1/(2πfC). Convert C = 50 μF to 50×10^-6 F and substitute f = 60 Hz. The capacitive reactance is 53.05 Ω. It decreases as C increases."
"CH_AUG053","CH","A 200 μF capacitor is connected to 50 Hz AC. Calculate capacitive reactance.","15.92","Ω","capacitor","Capacitive reactance decreases as capacitance increases. Use XC = 1/(2πfC) with C = 200×10^-6 F and f = 50 Hz. This gives XC ≈ 15.92 Ω."
"CH_AUG054","CH","A 25 μF capacitor is used at 100 Hz. Determine XC.","63.66","Ω","capacitor","Use XC = 1/(2πfC). Convert C = 25 μF to 25×10^-6 F and use f = 100 Hz. The result is XC = 63.66 Ω."
"CH_AUG055","CH","A series RLC circuit has R = 30 Ω, XL = 50 Ω, and XC = 10 Ω. Find impedance magnitude.","50","Ω","ac_resonance","For a series RLC circuit, Z = √(R² + (XL - XC)²). Here the net reactance is 40 Ω. Thus Z = √(30² + 40²) = 50 Ω."
"CH_AUG056","CH","A series RLC circuit has R = 40 Ω, XL = 30 Ω, and XC = 60 Ω. Calculate impedance.","50","Ω","ac_resonance","Compute net reactance XL - XC = -30 Ω. The impedance magnitude is Z = √(R² + (XL - XC)²). With R = 40 Ω, Z = √(40² + 30²) = 50 Ω."
"CH_AUG057","CH","A series RLC circuit has R = 12 Ω, XL = 20 Ω, and XC = 4 Ω. Find Z.","20","Ω","ac_resonance","The net reactance is XL - XC = 16 Ω. Use Z = √(R² + X²), where X is net reactance. Thus Z = √(12² + 16²) = 20 Ω."
"CH_AUG058","CH","A series RLC circuit has R = 9 Ω, XL = 15 Ω, and XC = 3 Ω. Calculate total impedance.","15","Ω","ac_resonance","Find the net reactance first: XL - XC = 12 Ω. Then Z = √(R² + X²) = √(9² + 12²). The impedance magnitude is 15 Ω."
"CH_AUG059","CH","An RLC circuit has R = 24 Ω, XL = 40 Ω, and XC = 8 Ω. Determine impedance magnitude.","40","Ω","ac_resonance","The net reactance is 40 - 8 = 32 Ω. Use the series impedance formula Z = √(R² + X²). With R = 24 Ω, Z = √(24² + 32²) = 40 Ω."
"CH_AUG060","CH","A series RLC circuit has R = 7 Ω, XL = 30 Ω, and XC = 6 Ω. Calculate Z.","25","Ω","ac_resonance","The reactive difference is XL - XC = 24 Ω. The impedance magnitude is Z = √(7² + 24²). This gives Z = 25 Ω."
"CH_AUG061","CH","In a series RLC circuit, XL = 80 Ω and XC = 80 Ω. What is the circuit condition?","resonance","-","ac_resonance","Resonance in a series RLC circuit occurs when inductive and capacitive reactances are equal. Since XL = XC = 80 Ω, the net reactance is zero. Therefore the circuit is at resonance."
"CH_AUG062","CH","A series RLC circuit has XL = 100 Ω and XC = 70 Ω. Is the circuit inductive or capacitive?","inductive","-","ac_resonance","Compare the two reactances. Since XL is greater than XC, the net reactance XL - XC is positive. A positive net reactance means the circuit behaves inductively."
"CH_AUG063","CH","In a series RLC circuit, XL = 40 Ω and XC = 90 Ω. Identify the circuit characteristic.","capacitive","-","ac_resonance","The capacitive reactance is larger than the inductive reactance. Therefore XL - XC is negative, so the circuit has a capacitive characteristic. It is not at resonance."
"CH_AUG064","CH","A series RLC circuit has XL = 55 Ω and XC = 55 Ω. What is the power factor ideally?","1","-","ac_resonance","When XL equals XC, the net reactance is zero and the circuit is resonant. The impedance is purely resistive, so voltage and current are in phase. Therefore the ideal power factor is 1."
"CH_AUG065","CH","A resonant RLC circuit has R = 75 Ω. What is the total impedance?","75","Ω","ac_resonance","At resonance, inductive and capacitive reactances cancel. The only remaining opposition is the resistance. Therefore the total impedance magnitude equals R = 75 Ω. No reactive term remains."
"CH_AUG066","CH","A resonant series RLC circuit has total impedance 45 Ω. What is the resistance R?","45","Ω","ac_resonance","For a series RLC circuit at resonance, Z = R because net reactance is zero. If the total impedance is 45 Ω, the resistance must also be 45 Ω."
"CH_AUG067","CH","A series RLC circuit at resonance is supplied by 90 V RMS and has R = 30 Ω. Find current.","3","A","ac_resonance","At resonance, the circuit behaves as a resistor of resistance R. Use I = U/R. Substituting 90 V and 30 Ω gives I = 3 A."
"CH_AUG068","CH","At resonance, a circuit with R = 10 Ω is connected to 50 V RMS. Calculate current.","5","A","ac_resonance","The resonance condition gives Z = R. Therefore the RMS current is I = U/R. With U = 50 V and R = 10 Ω, the current is 5 A."
"CH_AUG069","CH","A resonant RLC circuit has RMS current 2 A and resistance 80 Ω. Find source voltage.","160","V","ac_resonance","At resonance, the impedance is resistive, so U = IR. With I = 2 A and R = 80 Ω, U = 160 V. This is the RMS source voltage."
"CH_AUG070","CH","A resonant RLC circuit carries 1.5 A through R = 40 Ω. Calculate RMS voltage.","60","V","ac_resonance","At resonance, Z = R. The RMS voltage is U = IR = 1.5×40 = 60 V. No reactance term changes the total impedance, so Ohm's law is direct."
"CH_AUG071","CH","A circuit has impedance 25 Ω and current 4 A. Calculate RMS voltage.","100","V","general_physics","Use the AC relation U = IZ. With current I = 4 A and impedance Z = 25 Ω, U = 100 V. This is the RMS voltage."
"CH_AUG072","CH","An AC load has Z = 60 Ω and I = 2 A. Find RMS voltage.","120","V","general_physics","RMS voltage across an AC impedance is U = IZ. Substituting I = 2 A and Z = 60 Ω gives U = 120 V. The result is in volts."
"CH_AUG073","CH","An AC circuit has U = 180 V and I = 3 A. Calculate impedance.","60","Ω","general_physics","Use Z = U/I for RMS quantities in an AC circuit. With U = 180 V and I = 3 A, the impedance is 60 Ω."
"CH_AUG074","CH","An AC load draws 5 A from a 250 V RMS source. Find its impedance.","50","Ω","general_physics","Impedance is the ratio of RMS voltage to RMS current. Therefore Z = U/I = 250/5 = 50 Ω. This is the load impedance for the AC source."
"CH_AUG075","CH","A load has impedance 100 Ω and RMS voltage 200 V. Find RMS current.","2","A","general_physics","Use I = U/Z. Substituting U = 200 V and Z = 100 Ω gives I = 2 A. The current is the effective AC current."
"CH_AUG076","CH","A resistor has voltage 36 V and resistance 12 Ω. Calculate current.","3","A","circuit_resistance","Use Ohm's law I = U/R. With U = 36 V and R = 12 Ω, I = 3 A. This is the current through the resistor."
"CH_AUG077","CH","A resistor has current 0.4 A and resistance 50 Ω. Find voltage.","20","V","circuit_resistance","Use U = IR. Multiplying I = 0.4 A by R = 50 Ω gives U = 20 V. This is the voltage drop across the resistor."
"CH_AUG078","CH","A 90 Ω resistor carries 0.2 A. Determine voltage across it.","18","V","circuit_resistance","Ohm's law gives U = IR. With I = 0.2 A and R = 90 Ω, U = 18 V. The voltage is proportional to current."
"CH_AUG079","CH","A circuit has voltage 48 V and resistance 16 Ω. Find current.","3","A","circuit_resistance","Use I = U/R. Substituting 48 V and 16 Ω gives I = 3 A. This follows directly from Ohm's law for a resistor, with current measured in amperes."
"CH_AUG080","CH","A 75 Ω resistor is connected to 150 V. Calculate current.","2","A","circuit_resistance","The resistor current is I = U/R. With U = 150 V and R = 75 Ω, I = 2 A. The result is measured in amperes."
"CH_AUG081","CH","A 6 Ω resistor and a 12 Ω resistor are in parallel. Find equivalent resistance.","4","Ω","circuit_resistance","Use Req = R1R2/(R1 + R2). With R1 = 6 Ω and R2 = 12 Ω, Req = 72/18 = 4 Ω. Parallel resistance is lower than 6 Ω."
"CH_AUG082","CH","Two resistors 9 Ω and 18 Ω are connected in parallel. Calculate Req.","6","Ω","circuit_resistance","For two parallel resistors, Req = R1R2/(R1 + R2). Substituting 9 Ω and 18 Ω gives 162/27 = 6 Ω. The equivalent is below 9 Ω."
"CH_AUG083","CH","Resistors 5 Ω, 10 Ω, and 15 Ω are connected in series. Find Req.","30","Ω","circuit_resistance","Series resistances add directly. Therefore Req = 5 + 10 + 15 = 30 Ω. The same current flows through each resistor, so voltage drops add."
"CH_AUG084","CH","A device draws 0.5 A at 220 V. Calculate its power.","110","W","circuit_power","Use P = UI. Substituting U = 220 V and I = 0.5 A gives P = 110 W. This is the electrical power consumed."
"CH_AUG085","CH","A lamp draws 0.25 A from a 120 V source. Find power.","30","W","circuit_power","Power is voltage times current. Use P = UI = 120×0.25. The lamp consumes 30 W. This is the rate of electrical energy use, reported in watts."
"CH_AUG086","CH","A 10 Ω resistor carries 5 A. Calculate power dissipated.","250","W","circuit_power","Use P = I²R for resistor heating. With I = 5 A and R = 10 Ω, P = 25×10 = 250 W. This is dissipated as heat."
"CH_AUG087","CH","A 4 Ω resistor carries 3 A. Find power dissipated.","36","W","circuit_power","Joule power is P = I²R. Substituting I = 3 A and R = 4 Ω gives P = 9×4 = 36 W. The unit is watts."
"CH_AUG088","CH","A 100 Ω resistor has 50 V across it. Calculate power.","25","W","circuit_power","Use P = U²/R. With U = 50 V and R = 100 Ω, P = 2500/100 = 25 W. This is the power dissipated."
"CH_AUG089","CH","A 20 Ω resistor has 40 V across it. Find power.","80","W","circuit_power","When voltage and resistance are known, P = U²/R. Substituting 40 V and 20 Ω gives P = 1600/20 = 80 W. This is resistor power."
"CH_AUG090","CH","A circuit consumes 500 W at 250 V. Determine current.","2","A","circuit_power","Use P = UI and solve I = P/U. With P = 500 W and U = 250 V, I = 2 A. This is the current drawn."
"CH_AUG091","CH","A device consumes 60 W and draws 2 A. Find voltage.","30","V","circuit_power","Use P = UI. Solving for voltage gives U = P/I. With P = 60 W and I = 2 A, U = 30 V."
"CH_AUG092","CH","A resistor dissipates 180 W at 3 A. Calculate resistance.","20","Ω","circuit_power","Use P = I²R. Rearranging gives R = P/I². With P = 180 W and I = 3 A, R = 180/9 = 20 Ω."
"CH_AUG093","CH","A 15 Ω resistor dissipates 60 W. Find the current.","2","A","circuit_power","Use P = I²R and solve I = √(P/R). With P = 60 W and R = 15 Ω, I = √4 = 2 A."
"CH_AUG094","CH","A 50 Ω resistor dissipates 200 W. Calculate current.","2","A","circuit_power","The resistor power relation is P = I²R. Solving gives I = √(P/R). With P = 200 W and R = 50 Ω, I = √4 = 2 A."
"CH_AUG095","CH","An AC circuit has R = 20 Ω and Z = 25 Ω. Calculate power factor.","0.8","-","ac_resonance","Power factor for a series circuit is cosφ = R/Z. With R = 20 Ω and Z = 25 Ω, cosφ = 0.8. It is dimensionless."
"CH_AUG096","CH","An RLC circuit has R = 45 Ω and impedance 75 Ω. Find cosφ.","0.6","-","ac_resonance","Use cosφ = R/Z. Substituting R = 45 Ω and Z = 75 Ω gives cosφ = 0.6. This ratio shows how much of the impedance is resistive."
"CH_AUG097","CH","A series RLC circuit has R = 16 Ω and Z = 20 Ω. Calculate power factor.","0.8","-","ac_resonance","The power factor is resistance divided by total impedance. Therefore cosφ = 16/20 = 0.8. The result has no unit because it is a ratio."
"CH_AUG098","CH","A circuit has XL = 30 Ω and XC = 30 Ω. Identify the operating condition.","resonance","-","ac_resonance","When inductive and capacitive reactances are equal, their effects cancel. Here XL = XC = 30 Ω, so the net reactance is zero. The circuit is at resonance."
"CH_AUG099","CH","A circuit has XL = 75 Ω and XC = 25 Ω. What is the net reactance?","50","Ω","ac_resonance","Net reactance in a series RLC circuit is X = XL - XC. With XL = 75 Ω and XC = 25 Ω, X = 50 Ω. The positive value indicates inductive behavior."
"CH_AUG100","CH","A series RLC circuit has XL = 20 Ω and XC = 65 Ω. Find the net reactance.","-45","Ω","ac_resonance","Net reactance is X = XL - XC. Substituting XL = 20 Ω and XC = 65 Ω gives X = -45 Ω. The negative sign indicates capacitive behavior."
