id,prefix,topic,answer,unit,reject_reason,detail,question
CH186,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit with fixed components. At an angular frequency ω0, the inductive reactance X_L = 18 Ω and the capacitive reactance X_C = 72 Ω. To what multiple of ω0 must the angular frequency be adjusted for the circuit to resonate?"
CH187,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"In a series RLC circuit, at ω0, the inductor has an inductive reactance of 25 Ω, and the capacitor has a capacitive reactance of 225 Ω. By what factor of ω0 should the angular frequency be changed to achieve resonance?"
CH188,CH,ac_resonance,1.581,-,non_numeric_or_unitless,,"For a series RLC circuit with fixed components, when the angular frequency of the current is ω0, X_L = 30 Ω and X_C = 75 Ω. By what factor must the angular frequency be multiplied (relative to ω0) for resonance to occur?"
CH189,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"A series RLC circuit has constant component values. At ω0, the inductive reactance of the inductor is 35 Ω, and the capacitive reactance of the capacitor is 140 Ω. By what factor must ω be changed relative to ω0 for the circuit to reach resonance?"
CH190,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At the initial angular frequency ω0, XL = 45 Ω and XC = 405 Ω. The new angular frequency is set to k×ω0. What is the value of k for the circuit to resonate?"
CH191,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider an RLC series circuit with fixed components. When the angular frequency is ω0, the inductive reactance XL = 50 Ω and the capacitive reactance XC = 200 Ω. By what factor must the angular frequency be adjusted (relative to ω0) for the circuit to resonate?"
CH192,CH,ac_resonance,1.5,-,non_numeric_or_unitless,,"In a series RLC circuit, at ω₀, the inductor has an inductive reactance of 60 Ω and the capacitor has a capacitive reactance of 135 Ω. To what multiple of ω₀ must the angular frequency be changed to achieve resonance?"
CH193,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"In a series RLC circuit with constant components, when the angular frequency is ω0, XL = 24 Ω and XC = 216 Ω. By what factor must the angular frequency be multiplied relative to ω0 for resonance to occur?"
CH194,CH,ac_resonance,1.414,-,non_numeric_or_unitless,,"A series RLC circuit has constant component values. At an angular frequency ω0, the inductive reactance (XL) is 55 Ω, and the capacitive reactance (XC) is 110 Ω. By what factor of ω0 should ω be changed to bring the circuit into resonance?"
CH195,CH,ac_resonance,0.5,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At the initial angular frequency ω0, X_L = 80 Ω and X_C = 20 Ω. A new angular frequency must be set to k×ω0. What is the value of k for the circuit to resonate?"
CH196,CH,ac_resonance,0.577,-,non_numeric_or_unitless,,"Consider a series RLC circuit with fixed components. When the angular frequency is ω0, the inductive reactance X_L = 90 Ω and the capacitive reactance X_C = 30 Ω. By what factor must the angular frequency be adjusted (relative to ω0) for the circuit to resonate?"
CH198,CH,ac_resonance,1.0,-,non_numeric_or_unitless,,"For a series RLC circuit with fixed components, when the angular frequency is ω0, XL = 40 Ω and XC = 40 Ω. By what factor must ω0 be multiplied to achieve resonance?"
CH199,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"A series RLC circuit has unchanging component values. At ω0, the inductive reactance of the inductor is 12 Ω, and the capacitive reactance of the capacitor is 108 Ω. By what factor must ω be changed relative to ω0 for the circuit to resonate?"
CH200,CH,ac_resonance,1.414,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At an initial angular frequency ω₀, the inductive reactance X_L is 16 Ω, and the capacitive reactance X_C is 32 Ω. What is the value of k for the circuit to be in resonance when the angular frequency is set to k×ω₀?"
CH201,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"Given an RLC series circuit with fixed components. When the angular frequency is ω0, the inductive reactance X_L = 22 Ω and the capacitive reactance X_C = 198 Ω. To what multiple of ω0 must the angular frequency be adjusted for the circuit to resonate?"
CH202,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"In a series RLC circuit, at ω0, the inductor has an inductive reactance of 28 Ω and the capacitor has a capacitive reactance of 112 Ω. What multiple of ω0 should the angular frequency be changed to in order to achieve resonance?"
CH204,CH,ac_resonance,1.414,-,non_numeric_or_unitless,,"An RLC series circuit has constant component values. At ω0, the inductive reactance of the inductor is 42 Ω, and the capacitive reactance of the capacitor is 84 Ω. By what factor must ω be changed relative to ω0 for the circuit to be in resonance?"
CH205,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider an RLC series circuit. At the initial angular frequency ω0, X_L = 48 Ω and X_C = 192 Ω. The new angular frequency must be set to k×ω0. What is the value of k for the circuit to resonate?"
CH206,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider an RLC series circuit with fixed components. When the angular frequency is ω0, the inductive reactance X_L = 63 Ω and the capacitive reactance X_C = 252 Ω. By what factor must the angular frequency be adjusted relative to ω0 for the circuit to resonate?"
CH207,CH,ac_resonance,2.646,-,non_numeric_or_unitless,,"In a series RLC circuit, at ω0, the inductor has an inductive reactance of 70 Ω and the capacitor has a capacitive reactance of 490 Ω. What multiple of ω0 must the angular frequency be to achieve resonance?"
CH208,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"For an RLC series circuit with constant components, at an angular frequency ω0, X_L = 75 Ω and X_C = 300 Ω. By what factor must the angular frequency be multiplied (relative to ω0) for resonance to occur?"
CH209,CH,ac_resonance,2.236,-,non_numeric_or_unitless,,"A series RLC circuit has constant component values. At angular frequency ω0, the inductive reactance of the inductor is 85 Ω, and the capacitive reactance of the capacitor is 425 Ω. By what factor must ω be changed from ω0 for the circuit to be in resonance?"
CH210,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At an initial angular frequency ω0, X_L = 95 Ω and X_C = 380 Ω. The new angular frequency must be set to k×ω0. What is the value of k for the circuit to resonate?"
CH211,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit with fixed components. At an angular frequency ω0, the inductive reactance X_L = 15 Ω and the capacitive reactance X_C = 60 Ω. To what multiple of ω0 must the angular frequency be adjusted for the circuit to resonate?"
CH212,CH,ac_resonance,0.707,-,non_numeric_or_unitless,,"In an RLC series circuit, at an angular frequency of ω0, the inductor has an inductive reactance of 66 Ω and the capacitor has a capacitive reactance of 33 Ω. To what multiple of ω0 must the angular frequency be changed to achieve resonance?"
CH214,CH,ac_resonance,2.0,-,non_numeric_or_unitless,,"An RLC series circuit has fixed component values. At ω0, the inductive reactance of the inductor is 32 Ω, and the capacitive reactance of the capacitor is 128 Ω. By what factor must ω be changed relative to ω0 for the circuit to be in resonance?"
CH215,CH,ac_resonance,3.0,-,non_numeric_or_unitless,,"Consider a series RLC circuit. At the initial angular frequency ω₀, X_L = 20 Ω and X_C = 180 Ω. The new angular frequency is set to k×ω₀. What is the value of k for the circuit to resonate?"
CH216,CH,ac_resonance,205.71,W,constant_answer_code,,Circuit AB consists of segment AM (R1 = 20 Ω in series with capacitor C) and segment MB (R2 = 50 Ω in series with inductor L). Given that LCω² = 1 and uAM is 90° out of phase with uMB. An RMS voltage U = 120 V is applied across AB. What is the total power consumed by circuit AB?
CH219,CH,ac_resonance,67.5,W,constant_answer_code,,Circuit AB comprises two segments connected in series: AM and MB. Segment AM consists of resistor R1 = 40 Ω in series with capacitor C. Segment MB consists of resistor R2 = 80 Ω in series with inductor L. Given LCω² = 1 and that the voltage across AM (u_AM) is 90° out of phase with the voltage across MB (u_MB). An RMS voltage U = 90 V is applied across the terminals AB. Calculate the total power consumed by circuit AB.
CH220,CH,ac_resonance,100.0,W,constant_answer_code,,"Circuit AB consists of segment AM, which has resistor R1 = 10 Ω in series with capacitor C, and segment MB, which has resistor R2 = 90 Ω in series with inductor L. Given that LCω² = 1 and uAM is 90° out of phase with uMB. An RMS voltage U = 100 V is applied across AB. What is the total power consumed by circuit AB?"
CH221,CH,general_physics,1.6,A,constant_answer_code,,"Circuit AB has R1 = 20 Ω and R2 = 30 Ω. It satisfies the condition LCω² = 1, and the voltage uAM is 90 degrees out of phase with uMB (uAM and uMB are in quadrature). An RMS voltage U = 80 V is applied across AB. What is the RMS current in the circuit?"
CH222,CH,general_physics,1.5,A,constant_answer_code,,"Circuit AB has R1 = 15 Ω, R2 = 45 Ω and satisfies the condition LCω² = 1 (uAM and uMB are in phase quadrature). An RMS voltage U = 90 V is applied across AB. What is the RMS current in the circuit?"
CH223,CH,general_physics,0.95,A,constant_answer_code,,"A circuit AB has R1 = 35 Ω, R2 = 70 Ω and satisfies LCω² = 1 (uAM is in quadrature with uMB). An RMS voltage U = 100 V is applied across AB. What is the RMS current in the circuit?"
CH224,CH,general_physics,1.0,A,constant_answer_code,,"Circuit AB has R1 = 50 Ω, R2 = 25 Ω and satisfies LCω² = 1 (uAM is in quadrature with uMB). An RMS voltage U = 75 V is applied across AB. What is the RMS current in the circuit?"
CH227,CH,ac_resonance,34.0,Ω,constant_answer_code,,"A series circuit AB consists of two segments: AM and MB. Segment AM contains a resistor R1 = 35 Ω and a capacitor C. Segment MB contains a resistor R2 and an inductor L. The circuit components satisfy the condition LCω² = 1 (where ω is the angular frequency). The voltage across segment AM (uAM) is 90 degrees out of phase with the voltage across segment MB (uMB). When an RMS voltage U = 90 V is applied across AB, the total power consumed by the circuit is 117.65 W. What is the value of R2?"
CH230,CH,ac_resonance,55.0,Ω,constant_answer_code,,"Circuit AB consists of a resistor R1 = 25 Ω connected in series with a segment MB. Segment MB contains a resistor R2 and an inductor L. The circuit satisfies the condition LCω² = 1, and the voltage across segment AM (uAM) is 90 degrees out of phase with the voltage across segment MB (uMB). When an RMS voltage U = 100 V is applied across AB, the total power consumed by the circuit is 125.0 W. What is the value of R2?"
CH233,CH,ac_resonance,60.0,Ω,constant_answer_code,,"The circuit AB consists of segment MB, where R2 = 90 Ω is connected in series with an inductor L. We are given LCω² = 1, and the voltage U_AM is 90 degrees out of phase with U_MB. When a voltage U = 120 V is applied across AB, the total power dissipated is 96.0 W. Determine R1."
CH234,CH,ac_resonance,10.0,Ω,constant_answer_code,,"Circuit AB consists of segment MB, with R2 = 15 Ω in series with an inductor L. Given LCω² = 1, and voltage u_AM is 90 degrees out of phase with voltage u_MB. When a voltage U = 50 V is applied across AB, the total power consumed is 100.0 W. Determine R1."
CH236,CH,general_physics,62.76,V,constant_answer_code,,"Consider a circuit segment AB. It consists of two parts in series: segment AM contains R1 = 25 Ω in series with C, and segment MB contains R2 = 40 Ω in series with L. The condition LCω² = 1 is given. An RMS voltage U_AB = 80 V is applied across AB. Given that the voltage across AM (uAM) is 90 degrees out of phase with the voltage across MB (uMB). Calculate the RMS voltage across MB (U_MB)."
CH237,CH,ac_resonance,51.96,V,constant_answer_code,,"A circuit AB is formed by two series segments. Segment AM consists of a resistor R1 = 40 Ω in series with a capacitor C. Segment MB consists of a resistor R2 = 20 Ω in series with an inductor L. The entire circuit AB has the condition LCω² = 1. An RMS voltage U = 90 V is applied across AB. Given that the voltage u_AM is 90 degrees out of phase with the voltage u_MB, what is the RMS voltage across segment MB?"
CH238,CH,general_physics,69.28,V,constant_answer_code,,"A circuit AB consists of segment AM (R1 = 60 Ω in series with C) and segment MB (R2 = 30 Ω in series with L). The condition LCω² = 1 is given. An RMS voltage U = 120 V is applied across AB. Given that uAM and uMB are 90 degrees out of phase, what is the RMS voltage across segment MB?"
CH240,CH,general_physics,30.62,V,constant_answer_code,,"Circuit AB consists of R1 = 50 Ω in series with C, and R2 = 10 Ω in series with L. (LCω² = 1). An effective voltage U = 75 V is applied across AB. Given that uAM is 90 degrees out of phase with uMB. What is the effective voltage across segment MB?"
CH244,CH,circuit_power,108.0,W,constant_answer_code,,"Given a circuit AB with R1 = 40 Ω and R2 = 25 Ω, satisfying the condition LCω² = 1, and the voltage u_AM is 90 degrees out of phase with the voltage u_MB. The total power consumed by the entire circuit when a voltage U = 90 V is applied across AB is 108.0 W. If the same voltage is applied across the MB segment (containing R2 and L), what is the power consumed by the MB segment?"
CH245,CH,circuit_power,64.0,W,constant_answer_code,,"Consider a circuit AB with R1 = 60 Ω, R2 = 30 Ω, satisfying LCω² = 1, and uAM is in quadrature (90° out of phase) with uMB. The total power consumed by the circuit when U = 80 V is applied across AB is 64.0 W. If this same voltage is applied to the MB segment (containing R2 and L), what is the power consumed by MB?"
CH246,CH,circuit_power,1,-,non_numeric_or_unitless,,The AB circuit satisfies LCω² = 1. The voltages uAM and uMB are 90° out of phase. Given R1 = 30 Ω and R2 = 40 Ω. Calculate the power factor of the entire circuit.
CH247,CH,circuit_power,1,-,non_numeric_or_unitless,,"For circuit AB, LCω² = 1, and uAM and uMB are 90° out of phase. Given R1 = 70 Ω and R2 = 40 Ω. Calculate the power factor of the entire circuit."
CH248,CH,circuit_power,1,-,non_numeric_or_unitless,,"Circuit AB satisfies the condition LCω² = 1, and the voltages uAM and uMB are 90 degrees out of phase. Given R1 = 25 Ω and R2 = 30 Ω, calculate the power factor of the entire circuit."
CH249,CH,circuit_power,1,-,non_numeric_or_unitless,,"The circuit AB satisfies the condition LCω² = 1, and the voltages u_AM and u_MB are 90° out of phase. Given R1 = 60 Ω and R2 = 15 Ω. Calculate the power factor of the entire circuit."
CH250,CH,circuit_power,1,-,non_numeric_or_unitless,,Circuit AB satisfies LCω² = 1. Voltages uAM and uMB are 90° out of phase. Given R1 = 80 Ω and R2 = 90 Ω. Calculate the power factor of the entire circuit.
CH251,CH,ac_resonance,120,V,constant_answer_code,,"A series circuit consists of a pure inductor (XL = 25 Ω), a capacitor (XC = 100 Ω), and a resistor R. An RMS voltage of 120 V is applied to the circuit. If only the frequency is doubled, what will be the RMS voltage across the resistor R?"
CH252,CH,general_physics,150,V,constant_answer_code,,"A series circuit has XL = 20 Ω, XC = 80 Ω, and U = 150 V. When the frequency is doubled, what is the RMS voltage across the resistor R?"
CH253,CH,ac_resonance,220,V,constant_answer_code,,"An RLC series circuit has XL = 30 Ω and XC = 270 Ω, and is supplied with a voltage of U = 220 V. If the frequency is tripled, what will be the RMS voltage across the resistor R?"
CH254,CH,general_physics,100,V,constant_answer_code,,"Given a series circuit with XL = 40 Ω, XC = 160 Ω, and U = 100 V. If the frequency is doubled, what is the RMS voltage across R?"
CH258,CH,ac_resonance,75,V,constant_answer_code,,"An RLC circuit has XL = 12 Ω, XC = 108 Ω, and a total (RMS) voltage U = 75 V. When the frequency is tripled (increased by a factor of three), what is the RMS voltage across the resistor?"
CH261,CH,general_physics,130,V,constant_answer_code,,"Given XL = 28 Ω, XC = 112 Ω, and the total supply voltage U = 130 V. If the frequency is doubled, what is the RMS voltage across the resistor?"
CH262,CH,ac_resonance,120,V,constant_answer_code,,"In an RLC circuit, XL = 10 Ω, XC = 160 Ω, and the source voltage U = 120 V. If the frequency is increased by 4 times, what is the RMS voltage across the resistor R?"
CH264,CH,general_physics,100,V,constant_answer_code,,"A series circuit has an inductive reactance XL = 5 Ω and a capacitive reactance XC = 180 Ω, with an applied RMS voltage of U = 100 V. If the frequency is increased by 6 times, what is the RMS voltage across R?"
CH267,CH,general_physics,4,A,constant_answer_code,,"A circuit has XL = 30 Ω, XC = 270 Ω, R = 50 Ω, U = 200 V. If the frequency is increased by a factor of 3, what will be the RMS current in the circuit?"
CH272,CH,general_physics,4,A,constant_answer_code,,"In a circuit, given XL = 5 Ω, XC = 20 Ω, R = 20 Ω, and U = 80 V. If the frequency is doubled, what is the RMS current (effective current)?"
CH276,CH,circuit_power,540,W,constant_answer_code,,"In a circuit, XL = 40 Ω, XC = 160 Ω, R = 60 Ω, U = 180 V. If the frequency f is doubled, what is the power dissipated across R?"
CH279,CH,ac_resonance,800,W,constant_answer_code,,"In an RLC circuit, XL = 30 Ω, XC = 270 Ω, R = 50 Ω, and the source voltage U = 200 V. If the frequency (f) is tripled, what is the power consumed by the resistor?"
CH342,CH,ac_resonance,39.79,Hz,constant_answer_code,,"Given L = 0.20 H, C = 80 µF. Determine the resonant frequency f0."
CH344,CH,general_physics,56.27,Hz,constant_answer_code,,A circuit has L = 0.08 H and C = 100 µF. Calculate f0.
CH368,CH,ac_resonance,113.14,V,constant_answer_code,,"A series RLC circuit is in resonance with a source voltage U = 100 V, resistance R = 25 Ω, inductance L = 0.08 H, and capacitance C = 100 µF. Calculate the voltage across the inductor (UL)."
CH370,CH,ac_resonance,948.68,V,constant_answer_code,,"At resonance, U = 90 V, R = 15 Ω, L = 0.25 H, C = 10 µF. Calculate UL."
CH373,CH,general_physics,1.77,-,non_numeric_or_unitless,,"L = 0.05 H, C = 40 µF, R = 20 Ω. What is the value of Q?"
CH374,CH,general_physics,2.11,-,non_numeric_or_unitless,,"For a circuit with L = 0.12 H, C = 30 µF, and R = 30 Ω, calculate the quality factor (Q)."
CH379,CH,ac_resonance,58.31,Ω,constant_answer_code,,"A circuit has R = 50 Ω, XL = 60 Ω, XC = 30 Ω (not in resonance). Calculate the total impedance Z."
CH380,CH,general_physics,42.43,Ω,constant_answer_code,,"A circuit has R = 30 Ω, XL = 40 Ω, XC = 70 Ω. What is the total impedance Z?"
CHLT001,CHLT,ac_resonance,No,-,non_numeric_or_unitless,,"An RLC series circuit consists of R=50 Ω, L=0.5 H, and C=20 μF. When an AC voltage with a frequency of 40 Hz is supplied, does the circuit experience electrical resonance?"
CHLT002,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,"Given a series AC circuit with R = 10 Ω, L = 0.4 H, and C = 50 μF, determine if resonance occurs at an operating frequency of 35.6 Hz."
CHLT003,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,A pure inductor with an inductance of 0.2 H is connected in series with a resistor R=25 Ω and a capacitor C=10 μF. Determine if resonance occurs at a frequency of f=112 Hz?
CHLT004,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,"Given an RLC series circuit with R=40 Ω, L=0.318 H, and C=25 μF, will resonance occur if the AC current has a frequency of 56.4 Hz?"
CHLT005,CHLT,ac_resonance,No,-,non_numeric_or_unitless,,"An RLC series circuit has a resistor R=60 Ω, an inductor L=0.8 H, and a capacitor C=5 μF. When the power source supplies a frequency of 50 Hz, does electrical resonance occur?"
CHLT006,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,"An RLC series circuit consists of a resistor with R=100 Ω, an inductor with L=0.02 H, and a capacitor with C=200 μF. Is it in resonance at a frequency of 80 Hz?"
CHLT007,CHLT,ac_resonance,No,-,non_numeric_or_unitless,,"A series RLC circuit consists of R=15 Ω, L=0.3 H, and C=30 μF. Is the circuit in resonance at a frequency of 70 Hz?"
CHLT008,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,"For an RLC AC circuit with R = 45 Ω, L = 1 H, and C = 4 μF, does resonance occur in the circuit at a frequency of 79.6 Hz?"
CHLT009,CHLT,ac_resonance,No,-,non_numeric_or_unitless,,"A series circuit consists of a capacitor C=100 μF, an inductor L=0.01 H, and a resistor R=8 Ω. Does resonance occur at f=100 Hz?"
CHLT010,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,"Consider an electrical circuit consisting of R=30 Ω, L=0.4 H, and a capacitor C=20 μF. Is the frequency f=56.3 Hz the resonant frequency of the circuit?"
CHLT011,CHLT,ac_resonance,No,-,non_numeric_or_unitless,,"Consider an RLC series circuit with R=50 Ω, L=0.25 H, and C=25 μF. At a frequency of f=60 Hz, does resonance occur?"
CHLT012,CHLT,ac_resonance,Yes,-,non_numeric_or_unitless,,"An RLC circuit has R=20 Ω, L=0.159 H, and C=10 μF. Is the circuit in resonance at f=126 Hz?"
