id,source_numeric_id,source_id,topic,formula_id,answer,unit,style_index,generation_reason,question,explanation
TEG_NPF_cap_C_QU_002_00042,NPF_cap_C_QU_002,NPF_cap_C_QU_002,capacitor,capacitor_capacitance_from_charge_voltage,6,uF,4,missing_reference_cot,A capacitor carries charge 180 uC when the voltage across it is 30 V. Determine its capacitance.,"The quantities in the question are matched to the capacitor relation: charge = 180 uC; voltage = 30 V. The requested result is capacitance (C), so the calculation uses C = Q/U. The evaluated result is 6 uF."
TEG_NPF_force_resultant_003_00043,NPF_force_resultant_003,NPF_force_resultant_003,general_physics,resultant_two_vectors_from_angle,7.07107,N,6,missing_reference_cot,Two forces of 5 N and 5 N act at right angles on the same object. What is the resultant force?,"Because the question is asking for force (F), the solver does not use unrelated quantities. It keeps force = 5 N; force = 5 N and applies R = sqrt(A^2+B^2+2AB x cos(theta)). The verified computation is R = sqrt(A^2+B^2+2AB x cos(theta)), so the reported result is 7.07107 N."
TEG_THCB194_00045,NP_semantic_THCB194,THCB194,circuit_power,power_from_voltage_current,7.2,W,1,reference_explanation_quality_rejected,A resistor is connected to a voltage U = 9 V and carries current I = 0.8 A. Calculate the electric power.,"The wording describes this situation: A resistor is connected to a voltage U = 9 V and carries current I = 0.8 A. Calculate the electric power. The relevant quantities are voltage = 9 V; current = 0.8 A, and the relation is P = U x I. Evaluating that relation for the extracted values gives 7.2 W."
TEG_NL352_00046,NP_semantic_NL352,NL352,induction,inductor_energy_from_L_I,1.2,J,3,reference_explanation_quality_rejected,A coil has an inductance of 0.6 H and a current of 2 A. What is the magnetic field energy (J)?,"First identify the requested quantity as energy (W). The usable values are inductance = 0.6 H; current = 2 A. For this magnetic induction relation, the governing expression is W = 0.5 x L x I^2. Substituting the extracted values gives W = 0.5 x L x I^2; therefore the final value is 1.2 J."
TEG_DDT323_00048,NP_AUG_00268_NP_semantic_DDT323,DDT323,circuit_resistance,current_from_voltage_resistance,10,A,6,reference_explanation_quality_rejected,"Using Ohm's law, what current flows when 80 V is placed across 8 ohm?","Because the question is asking for current (I), the solver does not use unrelated quantities. It keeps resistance = 8 ohm; voltage = 80 V and applies I = U/R. The verified computation is I = U/R, so the reported result is 10 A."
TEG_NPF_B_solenoid_Nl_003_00049,NPF_B_solenoid_Nl_003,NPF_B_solenoid_Nl_003,induction,solenoid_field_from_turns_length_current,0.0100531,T,0,missing_reference_cot,A solenoid has 300 turns over length 0.15 m and carries current 4 A. Find the magnetic field inside it.,"The question asks for magnetic field (B), so the locked solver treats it as a magnetic induction relation. The extracted data are turns = 300 turns; distance = 0.15 m; current = 4 A. Using B = mu0 x (N/l) x I, the calculator evaluates B = mu0 x (N/l) x I. After applying the requested output unit, the result is 0.0100531 T."
TEG_NPF_ind_I_WL_003_00051,NPF_ind_I_WL_003,NPF_ind_I_WL_003,induction,inductor_current_from_energy_inductance,0.223607,A,3,missing_reference_cot,An inductor with inductance 2 H stores magnetic energy 50 mJ. What is the current?,"First identify the requested quantity as current (I). The usable values are inductance = 2 H; energy = 50 mJ. For this magnetic induction relation, the governing expression is I = sqrt(2W/L). Substituting the extracted values gives I = sqrt(2W/L); therefore the final value is 0.223607 A."
TEG_THCB217_00053,NP_AUG_00093_NP_semantic_THCB217,THCB217,circuit_resistance,resistance_from_voltage_current,20,ohm,6,reference_explanation_quality_rejected,"In a simple circuit, the measured voltage is 12.0 V and the current is 0.6 A. Find the resistance.","Because the question is asking for resistance (R), the solver does not use unrelated quantities. It keeps voltage = 12.0 V; current = 0.6 A and applies R = U/I. The verified computation is R = U/I, so the reported result is 20 ohm."
TEG_TD055_00062,NP_semantic_TD055,TD055,capacitor,capacitor_energy_from_C_U,506.622,nJ,0,reference_explanation_quality_rejected,An air capacitor has a capacitance of 60.70 pF and is charged to a voltage of 129.2 V. Calculate the energy stored in the capacitor.,"The question asks for energy (W), so the locked solver treats it as a capacitor relation. The extracted data are capacitance = 60.70 pF; voltage = 129.2 V. Using W = 0.5 x C x U^2, the calculator evaluates W = 0.5 x C x U^2. After applying the requested output unit, the result is 506.622 nJ."
TEG_NL020_00065,NP_semantic_NL020,NL020,induction,inductor_energy_from_L_I,675,mJ,4,reference_explanation_quality_rejected,An inductor has an inductance of 0.6 H and a current of 1.5 A. Calculate the magnetic field energy (mJ).,"The quantities in the question are matched to the magnetic induction relation: inductance = 0.6 H; current = 1.5 A. The requested result is energy (W), so the calculation uses W = 0.5 x L x I^2. The evaluated result is 675 mJ."
TEG_TD060_00069,NP_AUG_00127_NP_semantic_TD060,TD060,capacitor,capacitor_charge_from_C_U,0.727012,nC,1,reference_explanation_quality_rejected,A capacitor has capacitance 12.71 pF and voltage 57.2 V. Find the charge on it in nC.,"The wording describes this situation: A capacitor has capacitance 12.71 pF and voltage 57.2 V. Find the charge on it in nC. The relevant quantities are capacitance = 12.71 pF; voltage = 57.2 V, and the relation is Q = C x U. Evaluating that relation for the extracted values gives 0.727012 nC."
TEG_TD379_00072,NP_semantic_TD379,TD379,capacitor,capacitor_capacitance_from_energy_voltage,8,uF,5,reference_explanation_quality_rejected,A capacitor has an energy of 0.1 mJ and a voltage of 5 V. Calculate its capacitance.,"Reading the question literally, the known values are energy = 0.1 mJ; voltage = 5 V. Those values are sufficient for capacitance (C) because the governing relation is C = 2W/U^2. Carrying out the calculator step C = 2W/U^2 gives 8 uF."
TEG_THCB217_00073,NP_AUG_00094_NP_semantic_THCB217,THCB217,circuit_resistance,resistance_from_voltage_current,20,ohm,7,reference_explanation_quality_rejected,A device has a potential difference of 9.6 V across it and carries 0.48 A. Determine its resistance in ohm.,"The calculation follows directly from the locked formula R = U/I. After reading voltage = 9.6 V; current = 0.48 A from the question, the calculator performs R = U/I. This matches the requested resistance (R), so the final answer is 20 ohm."
TEG_LD040_00074,NP_semantic_LD040,LD040,electrostatics_force,coulomb_force_two_charges,15,N,3,duplicate_verified_golden_expanded_replaced_by_locked_trace,"Two point charges q1 = 3 uC and q2 = -2 uC are placed at points A and B, separated by 6 cm. Find the magnitude of the electric force acting on q1 by q2? (Take k = 9x10^9 Nxm^2/C^2)","First identify the requested quantity as force (F). The usable values are charge = 3 uC; charge = -2 uC; distance = 6 cm. For this Coulomb-force relation, the governing expression is F = k x |q1 x q2|/r^2. Substituting the extracted values gives F = k x |q1 x q2|/r^2; therefore the final value is 15 N."
TEG_CH040_00075,NP_semantic_CH040,CH040,LC_oscillation,lc_frequency_from_L_C,56.2698,Hz,5,duplicate_verified_golden_expanded_replaced_by_locked_trace,A 0.4 H inductor is connected in series with a 20 uF capacitor. Determine the resonant frequency.,"Reading the question literally, the known values are inductance = 0.4 H; capacitance = 20 uF. Those values are sufficient for frequency (f) because the governing relation is f = 1/(2 x pi x sqrt(LC)). Carrying out the calculator step f = 1/(2 x pi x sqrt(LC)) gives 56.2698 Hz."
TEG_TD051_00076,NP_semantic_TD051,TD051,capacitor,capacitor_charge_from_C_U,0.934128,nC,5,reference_explanation_quality_rejected,A parallel-plate capacitor has a capacitance of 4.68 pF and is charged to a voltage of 199.6 V. Calculate the charge stored by the capacitor.,"Reading the question literally, the known values are capacitance = 4.68 pF; voltage = 199.6 V. Those values are sufficient for charge (Q) because the governing relation is Q = C x U. Carrying out the calculator step Q = C x U gives 0.934128 nC."
TEG_NPF_I_PU_003_00077,NPF_I_PU_003,NPF_I_PU_003,circuit_power,current_from_power_voltage,2.27273,A,7,missing_reference_cot,An electrical device has power 500 W at voltage 220 V. Calculate the current.,"The calculation follows directly from the locked formula I = P/U. After reading power = 500 W; voltage = 220 V from the question, the calculator performs I = P/U. This matches the requested current (I), so the final answer is 2.27273 A."
TEG_CH162_00078,NP_AUG_00370_NP_semantic_CH162,CH162,circuit_resistance,current_from_voltage_resistance,1.5,A,1,reference_explanation_quality_rejected,"Using Ohm's law, what current flows when 120 V is placed across 80 ohm?","The wording describes this situation: Using Ohm's law, what current flows when 120 V is placed across 80 ohm? The relevant quantities are voltage = 120 V; resistance = 80 ohm, and the relation is I = U/R. Evaluating that relation for the extracted values gives 1.5 A."
TEG_CH348_00079,NP_AUG_00630_NP_semantic_CH348,CH348,LC_oscillation,lc_frequency_from_L_C,91.8881,Hz,5,duplicate_verified_golden_expanded_replaced_by_locked_trace,A lossless LC tank uses 0.02 H and 150.0 uF. What is its frequency?,"Reading the question literally, the known values are inductance = 0.02 H; capacitance = 150.0 uF. Those values are sufficient for frequency (f) because the governing relation is f = 1/(2 x pi x sqrt(LC)). Carrying out the calculator step f = 1/(2 x pi x sqrt(LC)) gives 91.8881 Hz."
TEG_NPF_flux_BS_000_00080,NPF_flux_BS_000,NPF_flux_BS_000,induction,magnetic_flux_from_B_area_angle,4.2e-07,Wb,5,missing_reference_cot,A flat coil surface of area 12 cm2 is aligned with a uniform magnetic field of 0.35 mT. Find the magnetic flux.,"Reading the question literally, the known values are magnetic field = 0.35 mT; area = 12 cm2. Those values are sufficient for magnetic flux (Phi) because the governing relation is Phi = B x S x cos(theta). Carrying out the calculator step Phi = B x S x cos(theta) gives 4.2e-07 Wb."
TEG_CH080_00086,NP_semantic_CH080,CH080,ac_resonance,rlc_resonance_capacitance_from_L_f,12.5088,uF,4,reference_explanation_quality_rejected,An inductor with L=0.25 H is used. What capacitance is required to achieve resonance at f=90 Hz?,"The quantities in the question are matched to the AC resonance relation: inductance = 0.25 H; frequency = 90 Hz. The requested result is capacitance (C), so the calculation uses C = 1/((2 x pi x f)^2 x L). The evaluated result is 12.5088 uF."
TEG_NPF_plate_C_eps_002_00087,NPF_plate_C_eps_002,NPF_plate_C_eps_002,capacitor,parallel_plate_capacitance_with_dielectric,212.501,pF,6,missing_reference_cot,"A parallel-plate capacitor has dielectric constant 3.2, plate area 60 cm2, and separation 0.8 mm. Calculate its capacitance.","Because the question is asking for capacitance (C), the solver does not use unrelated quantities. It keeps dielectric constant = 3.2; area = 60 cm2; distance = 0.8 mm and applies C = eps_r x eps0 x A/d. The verified computation is C = eps_r x eps0 x A/d, so the reported result is 212.501 pF."
TEG_NL108_00090,NP_semantic_NL108,NL108,capacitor,capacitor_energy_from_C_U,29.4,mJ,2,reference_explanation_quality_rejected,A capacitor has a capacitance of 12 uF and a voltage of 70 V. Calculate the stored electric field energy (mJ).,"The problem context is preserved from the original question: A capacitor has a capacitance of 12 uF and a voltage of 70 V. Calculate the stored electric field energy (mJ). The target is energy (W). With capacitance = 12 uF; voltage = 70 V, the verified relation W = 0.5 x C x U^2 is used. The calculator's substitution step is W = 0.5 x C x U^2, leading to 29.4 mJ."
TEG_CH051_00094,NP_semantic_CH051,CH051,circuit_power,power_from_voltage_resistance,960,W,7,reference_explanation_quality_rejected,"In an RLC resonant circuit, R = 60 ohm, U = 240 V. Calculate the power.","The calculation follows directly from the locked formula P = U^2/R. After reading resistance = 60 ohm; voltage = 240 V from the question, the calculator performs P = U^2/R. This matches the requested power (P), so the final answer is 960 W."
TEG_None_00095,NP_AUG_00078_NP_verified_csv_None,None,LC_oscillation,lc_angular_frequency_from_L_C,395.285,rad/s,1,missing_reference_cot,A lossless LC tank uses 0.32 H and 20 uF. What is its angular frequency?,"The wording describes this situation: A lossless LC tank uses 0.32 H and 20 uF. What is its angular frequency? The relevant quantities are inductance = 0.32 H; capacitance = 20 uF, and the relation is omega = 1/sqrt(LC). Evaluating that relation for the extracted values gives 395.285 rad/s."
TEG_CH161_00096,NP_AUG_00396_NP_semantic_CH161,CH161,circuit_resistance,current_from_voltage_resistance,1.5,A,3,reference_explanation_quality_rejected,"Across a resistor with resistance 72 ohm, the voltage is 108 V. Find the current through it.","First identify the requested quantity as current (I0). The usable values are voltage = 108 V; resistance = 72 ohm. For this circuit resistance relation, the governing expression is I = U/R. Substituting the extracted values gives I = U/R; therefore the final value is 1.5 A."
TEG_NPF_XC_003_00099,NPF_XC_003,NPF_XC_003,ac_resonance,capacitive_reactance_from_C_f,44.2097,ohm,7,missing_reference_cot,A capacitor of 40 uF is connected to an AC source of frequency 90 Hz. Find the capacitive reactance.,"The calculation follows directly from the locked formula X_C = 1/(2 x pi x f x C). After reading capacitance = 40 uF; frequency = 90 Hz from the question, the calculator performs X_C = 1/(2 x pi x f x C). This matches the requested resistance (X_C), so the final answer is 44.2097 ohm."
TEG_NPF_force_resultant_000_00100,NPF_force_resultant_000,NPF_force_resultant_000,general_physics,resultant_two_vectors_from_angle,13.8924,N,1,missing_reference_cot,Two forces of 7 N and 12 N act at right angles on the same object. What is the resultant force?,"The wording describes this situation: Two forces of 7 N and 12 N act at right angles on the same object. What is the resultant force? The relevant quantities are force = 7 N; force = 12 N, and the relation is R = sqrt(A^2+B^2+2AB x cos(theta)). Evaluating that relation for the extracted values gives 13.8924 N."
TEG_NPF_omega_001_00107,NPF_omega_001,NPF_omega_001,LC_oscillation,angular_frequency_from_frequency,314.159,rad/s,1,missing_reference_cot,An oscillator has frequency 50 Hz. Calculate its angular frequency.,"The wording describes this situation: An oscillator has frequency 50 Hz. Calculate its angular frequency. The relevant quantities are frequency = 50 Hz, and the relation is omega = 2 x pi x f. Evaluating that relation for the extracted values gives 314.159 rad/s."
TEG_THCB168_00111,NP_AUG_00376_NP_semantic_THCB168,THCB168,circuit_resistance,total_current_parallel_resistors_from_voltage,0.9,A,0,duplicate_verified_golden_expanded_replaced_by_locked_trace,Find the source current for a 9.6 V supply feeding parallel resistors 16 ohm and 32 ohm.,"The question asks for current (I), so the locked solver treats it as a circuit resistance relation. The extracted data are resistance = 16 ohm; resistance = 32 ohm; voltage = 9.6 V. Using I_total = U x sum(1/R_i), the calculator evaluates I_total = U x sum(1/R_i). After applying the requested output unit, the result is 0.9 A."
TEG_NPF_cap_U_QC_001_00115,NPF_cap_U_QC_001,NPF_cap_U_QC_001,capacitor,capacitor_voltage_from_charge_capacitance,20,V,3,missing_reference_cot,The charge on a capacitor is 120 uC and its capacitance is 6 uF. What is the voltage?,"First identify the requested quantity as voltage (U). The usable values are charge = 120 uC; capacitance = 6 uF. For this capacitor relation, the governing expression is U = Q/C. Substituting the extracted values gives U = Q/C; therefore the final value is 20 V."
TEG_CH077_00117,NP_AUG_00688_NP_semantic_CH077,CH077,ac_resonance,rlc_resonance_capacitance_from_L_f,6.75475,uF,0,duplicate_verified_golden_expanded_replaced_by_locked_trace,"At resonance, an LC branch has L = 0.015 H and f = 500.0 Hz. Calculate C.","The question asks for capacitance (C), so the locked solver treats it as a AC resonance relation. The extracted data are inductance = 0.015 H; frequency = 500.0 Hz. Using C = 1/((2 x pi x f)^2 x L), the calculator evaluates C = 1/((2 x pi x f)^2 x L). After applying the requested output unit, the result is 6.75475 uF."
TEG_THCB217_00118,NP_AUG_00095_NP_semantic_THCB217,THCB217,circuit_resistance,resistance_from_voltage_current,20,ohm,0,reference_explanation_quality_rejected,"When 12.0 V is applied to a conductor, the current is 0.6 A. What resistance does the conductor have?","The question asks for resistance (R), so the locked solver treats it as a circuit resistance relation. The extracted data are voltage = 12.0 V; current = 0.6 A. Using R = U/I, the calculator evaluates R = U/I. After applying the requested output unit, the result is 20 ohm."
TEG_THCB091_00119,NP_AUG_00752_NP_semantic_THCB091,THCB091,measurement_error,relative_error_from_absolute,0.625,%,2,reference_explanation_quality_rejected,"If the reading is 8.0 cm and its error is 0.05 cm, what is the relative error?","The problem context is preserved from the original question: If the reading is 8.0 cm and its error is 0.05 cm, what is the relative error? The target is relative error (relative_error). With given 1 = 8.0 cm, the verified relation relative error = Delta x/x x 100% is used. The calculator's substitution step is relative error = Delta x/x x 100%, leading to 0.625 %."
TEG_THCB201_00120,NP_semantic_THCB201,THCB201,circuit_power,power_from_voltage_resistance,216,W,4,reference_explanation_quality_rejected,A resistor R = 24 ohm is connected across a voltage U = 72 V. Calculate the power dissipated.,"The quantities in the question are matched to the electric power relation: resistance = 24 ohm; voltage = 72 V. The requested result is power (P), so the calculation uses P = U^2/R. The evaluated result is 216 W."
TEG_THCB200_00122,NP_semantic_THCB200,THCB200,circuit_power,power_from_voltage_resistance,180,W,7,reference_explanation_quality_rejected,A resistor R = 20 ohm is connected across a voltage U = 60 V. Calculate the power dissipated.,"The calculation follows directly from the locked formula P = U^2/R. After reading resistance = 20 ohm; voltage = 60 V from the question, the calculator performs P = U^2/R. This matches the requested power (P), so the final answer is 180 W."
TEG_NPF_power_I_PR_002_00124,NPF_power_I_PR_002,NPF_power_I_PR_002,circuit_power,current_from_power_resistance,2,A,2,missing_reference_cot,A resistor dissipates 128 W while its resistance is 32 ohm. What current flows through it?,"The problem context is preserved from the original question: A resistor dissipates 128 W while its resistance is 32 ohm. What current flows through it? The target is current (I). With power = 128 W; resistance = 32 ohm, the verified relation I = sqrt(P/R) is used. The calculator's substitution step is I = sqrt(P/R), leading to 2 A."
TEG_THCB129_00127,NP_AUG_00794_NP_semantic_THCB129,THCB129,measurement_error,relative_error_from_absolute,0.454545,%,0,duplicate_verified_golden_expanded_replaced_by_locked_trace,A measured value is 220.0 V with absolute uncertainty 1.0 V. Calculate the relative error percentage.,"The question asks for relative error (relative_error), so the locked solver treats it as a measurement-uncertainty relation. The extracted data are given 1 = 220.0 V. Using relative error = Delta x/x x 100%, the calculator evaluates relative error = Delta x/x x 100%. After applying the requested output unit, the result is 0.454545 %."
TEG_NPF_Z_RLC_003_00128,NPF_Z_RLC_003,NPF_Z_RLC_003,ac_resonance,series_ac_impedance_from_R_XL_XC,44.7214,ohm,0,missing_reference_cot,"A series RLC circuit has R = 20 ohm, XL = 50 ohm, and XC = 10 ohm. Calculate its impedance.","The question asks for resistance (Z), so the locked solver treats it as a AC resonance relation. The extracted data are resistance = 20 ohm; inductive reactance = 50 ohm; capacitive reactance = 10 ohm. Using Z = sqrt(R^2+(XL-XC)^2), the calculator evaluates Z = sqrt(R^2+(XL-XC)^2). After applying the requested output unit, the result is 44.7214 ohm."
TEG_DDT484_00130,NP_semantic_DDT484,DDT484,LC_oscillation,lc_max_current_from_voltage_capacitance_inductance,0.189737,A,3,reference_explanation_quality_rejected,"An LC oscillator has L = 0.2 H, C = 50 uF, and maximum capacitor voltage U0 = 12 V. Calculate the maximum current.","First identify the requested quantity as current (I0). The usable values are inductance = 0.2 H; capacitance = 50 uF; voltage = 12 V. For this ideal LC oscillator relation, the governing expression is I0 = U0 x sqrt(C/L). Substituting the extracted values gives I0 = U0 x sqrt(C/L); therefore the final value is 0.189737 A."
TEG_THCB168_00131,NP_AUG_00375_NP_semantic_THCB168,THCB168,circuit_resistance,total_current_parallel_resistors_from_voltage,0.9,A,7,duplicate_verified_golden_expanded_replaced_by_locked_trace,Two resistors 20.0 ohm and 40.0 ohm are in parallel across 12.0 V. What current is supplied by the source?,"The calculation follows directly from the locked formula I_total = U x sum(1/R_i). After reading resistance = 20.0 ohm; resistance = 40.0 ohm; voltage = 12.0 V from the question, the calculator performs I_total = U x sum(1/R_i). This matches the requested current (I), so the final answer is 0.9 A."
